Country/Region;Province/State;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023;01.12.2023;1/13/23;1/14/23;1/15/23;1/16/23;1/17/23;1/18/23;1/19/23;1/20/23;1/21/23;1/22/23;1/23/23;1/24/23;1/25/23;1/26/23;1/27/23;1/28/23;1/29/23;1/30/23;1/31/23;02.01.2023;02.02.2023;02.03.2023;02.04.2023;02.05.2023;02.06.2023;02.07.2023;02.08.2023;02.09.2023;02.10.2023;02.11.2023;02.12.2023;2/13/23;2/14/23;2/15/23;2/16/23;2/17/23;2/18/23;2/19/23;2/20/23;2/21/23;2/22/23;2/23/23;2/24/23;2/25/23;2/26/23;2/27/23;2/28/23;03.01.2023;03.02.2023;03.03.2023;03.04.2023;03.05.2023;03.06.2023;03.07.2023;03.08.2023;03.09.2023;
Tuvalu;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
US;;1092779;1092801;1093208;1094493;1095335;1095789;1095815;1095832;1096132;1097024;1098854;1099574;1099954;1100006;1100023;1100068;1100812;1102393;1103712;1104154;1104178;1104191;1104505;1105308;1106676;1107559;1107661;1107676;1107690;1107918;1108688;1109996;1111159;1111679;1111696;1111698;1111890;1112362;1113429;1114385;1114492;1114529;1114537;1114709;1115160;1115741;1116851;1117572;1117589;1117590;1117663;1118025;1118886;1119521;1119573;1119587;1119588;1119582;1119917;1120897;1121658;1122165;1122172;1122134;1122181;1122516;1123246;1123836;
Uganda;;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;3630;
Ukraine;;118689;118690;118739;118740;118741;118788;118789;118789;118789;118790;118790;118792;118854;118856;118858;118860;118861;118861;118863;118922;118923;118924;118924;118926;118927;118928;118928;118972;118973;118973;118974;119018;119018;119018;119018;119018;119018;119019;119020;119089;119089;119091;119092;119092;119093;119138;119139;119140;119141;119142;119143;119143;119144;119144;119145;119146;119147;119149;119149;119209;119210;119211;119212;119213;119216;119217;119281;119283;
United Arab Emirates;;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2348;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;2349;
United Kingdom;Anguilla;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;
United Kingdom;Bermuda;153;153;153;154;154;154;154;154;154;154;155;155;155;155;155;155;155;157;157;157;157;157;157;157;157;157;157;157;157;157;157;158;158;158;158;158;158;158;158;158;158;158;158;158;158;159;159;159;159;159;159;159;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;
United Kingdom;British Virgin Islands;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;
United Kingdom;Cayman Islands;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;
United Kingdom;Channel Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
